views_int,views,ai_comment_mentions,comments_scanned,comments,norwegian_score,title,channel,channel_country,default_language,default_audio_language,url,duration,upload_date,found_by_queries,norwegian_reasons,norwegian_markers_found,ai_markers_in_metadata,subscribers,channel_video_count,comment_scan_error,ai_comment_texts
30504654,30504654,33,8332,9825,6,Nordic Tortilla  #nordics #funny #norway #sweden #denmark #lefse #tortilla,Ólafur Waage,NO,en,en,https://www.youtube.com/shorts/vMZ02hjcYsY,0:29,2023-12-20T16:50:54Z,Norway,channel_country=NO; found by broad Norway/Norwegian seed query,,,276000,403,,"Fake || Norwegians lefse chat... || Fake!!!! Tortilla= lefse pancake= pannekake pizza= pizza || Lompe has left the chat || Roti joins the chat* || Pizza is a fake lefsa with cheese .italians:i am coming for you || Stop sayin bad tings of Norway i am from Norway  and its just one thing that’s lefse so stop saying fake things if you think the same write (team Norge) so YouTuber please stop😢 || As a Mexican this is fake News || Lompe enters the chat || Ai am noridjen || That’s not that bad, not as bad as em Europeans calling chow mein spaghetti. Proper dish names have lefse the chat. || Roti has left the chat: || Reality has lefse the chat. || Fake Im norwigen jh er norsk || L has left the chat. || Roti not in chat || I’m Norwegian and this is fake || Vietnam's bánh has entered the chat. || Lefse comes from the Turkish word lavaş(leo-veo-sh) || -Logic Lefse chat || ""Papad""  Enters the chat || BRUH FAKE I LIVE IN NORWAY FAKD ALL FAKE ONLY NAME LEFSE only the truth is the name || Roti has left the chat. || Indians enter the chat with roti / chapati || Roti has entered the chat! || Sorry but indians entered the chat🎉 || Tortilla has Lefse the chat. || ""Logic lefse chat"" || Vietnamese has entered the chat - ""banh"" - almost any bread-like product, from cookies to buns || ROTI has entered the chat. || Pitta has left the chat || Tortilla lefse chat. || guys the earth is flat the alien master race put VR on our heads from birth so the earth is actually a cube and diamond and a pyramid. But they would never tell us since all our actions are controlled by their AI"
18369038,18369038,4,414,518,10,It's Norway baby 😂🇧🇻❄️ #remix #norway #snow #winter #funny #oslo #travel #zia,Zia ( The Explorer) 🇳🇴,NO,no,,https://www.youtube.com/shorts/xMEoVd0WAw0,0:15,2025-02-23T09:25:41Z,Norge; Norway; norsk,channel_country=NO; defaultLanguage=no; found by broad Norway/Norwegian seed query,,,17300,976,,Wtf its fake dont come to norway its just cold and this is them finding another cold place to trick you || I’m from Norway its not so cold here in Norway the there are ice bricks you can stand on and this is fake || Der et fake || Is fake
16667969,16667969,14,5892,8239,14,"Lavrans Svendsen | Stay (Rihanna, Mikky Ekko) | Knockout | The Voice Norway 2024",The Voice Norway,NO,no,en-US,https://www.youtube.com/shorts/6odcVHCVC_Q,2:00,2024-04-12T20:00:02Z,Norge; Norway,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; og; å; ø,,386000,1392,,"Je vis en guinée. Je suis guinéen et pourtant je n'oublierai jamais l'effet que cette musique a produit sur mon être. Elle décrit parfaitement ce qu'à un moment de ma jeunesse j'ai vécu. Exclusion, marginalisation, rupture relationnelle avec les parents, spleen total, sentiment d'abandon et de dégoût de ma propre personne. Merci Loïc. Sache que Mr Mme n'est pas qu'un son réservé à l'occident, il est un chant des mondes || Almost everybody who participates in these kinds of shows and reaches first place will be forgotten within a year. The producers will exploit this man to the fullest, and when his success fades, they'll abandon the winners.
If you truly possess talent, you don't need these kinds of pathetic shows because the rest are fake, and especially the creepy people who make millions from them will have the last laugh. Remember, if this man is no longer interesting, almost no producer in this world will allow him to make a sequel because he's a risk, and you can perform at weddings and cafes to at least make some money. || I can’t stand the sound of the quick vibrato. It’s fake. Forced. Michael Jackson started that trash. Michael did it naturally when young. Forced it later on. || Fake just like an angel 🥱🫣😆 || J’ai ta chanson dans la tête toute la journée, bravo l’artiste ❤❤ || 2025 June: I consider him as one of the greatest singers who ever walked the face of Earth. AI won't be able to produce his voice because he is so masterful at all techniques, that he can bring variation up without limits. What you think cannot come, he just does it. ❤ || A chaque fois que je l'écoute j'ai le sentiment de quitter le monde ..la terre ...la Norvège ce sont les paysages ..la nature ...les gens ...et les voix ...❤❤❤❤ || Proper old fashioned front man.  No more of these fake tough guy rappers and their derivative performances. || The amount of emotional feeling generated from the delivery of the shortened version of stay is incredible.

Funny thing is I listened to the original recently, so this showed up in my feed. I didn’t have as strong emotional connection to the original but this version really got me. || J'ai écouté derrière la version de Rihanna...sans aucun intérêt 
Cette chanson est la sienne ❤ magnifique || C'est un moment suspendu que d'entendre cette voix. J'en ai des frissons à chaque fois que je regarde la vidéo, tout est parfait.... c'est juste trop court 💖 || Un moment magique ! J'en ai des frissons. Sublime ❤❤❤❤❤ || Veo un angel❤ || J'ai rarement entendu chanter avec autant d'émotions et de talent. Quel phénomène !!!"
13606382,13606382,21,7801,9122,6,Great Nordic Candy #nordic #comedy #norway #sweden #iceland #finland #licorice #food,Ólafur Waage,NO,en,en,https://www.youtube.com/shorts/pT1L3-H64_Y,0:26,2025-10-05T15:37:10Z,Norway,channel_country=NO; found by broad Norway/Norwegian seed query,,,276000,403,,"Apparently Nordic licorice is nothing like American black licorice, which is fake and sweet instead of ""salmiak"".  Now I want to try it because I tend to like intense flavors. || Fifth is fake || Nordic candy often contains licorice, especially salty licorice (salmiakki), due to a long history of medicinal use, a cultural preference for strong, complex, and savory-sweet flavors, and the ingredient's ability to provide a comforting, ""warm"" sensation during cold winters. (google ai told me this) || what people dont understand is real black licorice is much tastier than the nasty fake stuff. || wouldn't call this anime, it's more of ai slop || licorice itself is highly sweet, its just that nearly all licorice is fake. || Dutch people have entered the chat. || Replace ""Licorice"" with ""AI"" and you've basically got the state of the internet right now. || always feel like a fake nordic, i can't stand licorice. it makes me naucious. very few types of licorice that i actually like. || Halloween is soon. Maybe if I order this candy overseas, it'll be at my house before then so I can pass it out and giggle like gremlin at the knowledge of kids eating what is essentially fake candy 😂 || I hate licorice so much 🥲😅 But it might be because I was a sickly kids and most of my medicine was licorice flavored 🤔 I also hate fake cherry flavored candies too. || I'm a weirdo because I love black licorice not that fake red stuff...the real thing.  But then I like cilantro, coffee, tequila and Campari. || Licorice lowers blood pressure very well if it comes from the real Licorice and not a synthetic flavouring || The dutch entering the chat rubbing their bellies. || Sounds like a dream, I love licorice not the fake red shit though || Man said liquorice so many times that it now sounds like a fake word 😂 || My weird wife's interests enters chat: ILL TAKE YOUR WHOLE STOCK

ME:....gross || I think my Nordic blood is activated anytime REAL licorice is involved (I hate fake/cheap licorice, REAL licorice is a very, dark evergreen color, the cheap stuff is brownish.) || Actual real licorice is really good, pure licorice is a sweetener many many times sweeter than sugar, the reason westerners hate licorice is because its fake and disgusting || Draumur is the perfect blend of choco-licorice. Þristur is second if they don't draumur.  I can't recommend it though because you *will* get addicted. I wish I had never had either. Now there is only fake plastic black licorice back home...sigh... || How to tell you dealing with a fake Nordic, he will give candy with jam inside and licorice on the side."
13007158,13007158,0,0,0,19,Badesang | Vuggesanger for Babyer | CoComelon Norsk,CoComelon Norsk - Barnerim,NO,no,no,https://www.youtube.com/shorts/seF0yPXXmKk,2:55,2023-09-29T04:00:26Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; det; følg; med; norsk; og; på; til; å; æ; ø,,562000,351,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
10935245,10935245,7,1115,3069,3,“You Are Not Allowed To March Here.” | Narvik (2022) #shorts #narvik #movie #movies #war #ww2,Filmwizz,,en,,https://www.youtube.com/shorts/WW4UVmvQp5w,0:56,2024-10-17T16:07:23Z,Norge,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,æ; ø,,324000,375,,"What in the ai || 90% of you are bot accounts || thats a fake || What happened to them after the chit chat || What for? Risk to start a war on the spot? What if it has been authorized to shot? So fake. || he doesn't say ""Yes, we march"" he said ""Still/Yet, wet marching/march on"" depending on dialect, these AI text to speech are shit when there's an accent. || Fake history movie"
9456632,9456632,1,2463,3209,13,Natalie Beisland vs. Ingeborg Ruud | Young And Beautiful(Lana Del Rey)|Battle |The Voice Norway 2025,The Voice Norway,NO,no,en-US,https://www.youtube.com/shorts/wZvlKqtVcxA,2:40,2025-02-28T21:00:48Z,Norge,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; og; ø,,386000,1392,,Une des plus belles batailles que j’ai pu voir ! J’adore !
8279978,8279978,0,12280,18144,6,Так выглядит магазин в Норвегии #норвегия #жизньвнорвегии #норвежцы,Agnese Talesa,NO,ru,ru,https://www.youtube.com/shorts/7m-Fw0uqCg0,0:55,2024-02-13T16:00:04Z,Norge,channel_country=NO; found by broad Norway/Norwegian seed query,,,208000,594,,
7606473,7606473,3,2223,2671,14,Marlen Tjøsvoll | Bang Bang (My Baby Shot Me Down) (Cher) | Blind auditions | The Voice Norway 2025,The Voice Norway,NO,no,en-US,https://www.youtube.com/shorts/kBjCp5LISuU,2:12,2025-01-24T21:00:42Z,Norge,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; og; å; ø,,386000,1392,,"yo the black dude has a fake ass carpet on his head || Franchement j'ai rarement entendu une aussi belle voix avec une interprétation si intense ! B R A V O || The way the judges are on the edge of their seats 0:52. Their faces are so emotional, 0:56, this guy is like “is this real or fake” 1:08. 1:34 she looks absolutely entranced by her song. Genuinely impressive voice I love this so much."
7006702,7006702,7,2011,2857,14,Inger Lise Hope | Adagio (Lara Fabian) | Blind audition | The Voice Norway 2024,The Voice Norway,NO,no,en-US,https://www.youtube.com/shorts/I4izFK3wbfI,2:14,2024-01-05T21:00:09Z,Norge; Norway,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; og; å; ø,,386000,1392,,"She is absolutely amazing, it really bothers me that AI generated artist get 80,000+ likes!    We want true artist, thank you for such beautiful music! || fake || 😢J'en ai les larmes aux yeux et les poils qui se redressent en entendant cette magnifique personne....❤❤
Elle a une puissance incroyable...🎼🎵🎶🎤🎙️
Pour moi, elle mérite de gagner ""the voice Norvège""...🎤🎙️🎶🎵❤❤ || Vous avez été repérée par the voice. Je ne savais pas. Toujours est-il que ce n'est pas une référence pour moi. Mais vous avez une très belle voix. Et ça c'est indéniable. Et je n'ai besoin d'aucun coach ! Bravo. 👍❤ || Elle a mit tout le monde d'accord et j'en ai,des frissons || Absolument MAGNIFIQUE !... J'adore Lara Fabian, mais là, je dois avouer qu'elle la dépasse et même qu'elle dépasse bien d'autres grandes voix !... J'ai dû écouter cet Adagio d'Inger au moins 30 fois et me m'en lasse jamais tellement tout y est, le grain de voix, la puissance et l'aisance !... BRAVO et encore MERCI de France  🤗😍 || ¡ Estoy hipnotizado !  Veo el video y lo veo,lo veo,lo veo,lo veo ,no se cuántas veces ya,estoy asombrado,atrapado por esta mujer,su voz,su impronta,su potencia,su habilidad vocal,la limpieza de sus notas. Esto se llama perfección.
¿ Me imagino que ganó la temporada ? Alguien   en ese lugar del mundo hará algo para que el resto del mundo disfrute de esta maravillosa voz.
Si Lara Fabián la habrá escuchado,creo que estaría de acuerdo no solo conmigo,sino con todos los que amamos la música de verdad , no la basura que nos venden como una burda imitación.
Si el Jurado y el público la eligió como la mejor,mis saludos y respetos para ellos.
Desde Sudamérica ( Chile )."
